date,sentiment_score,volume
2018-09-24,0.0029,11922
2018-09-25,-0.0197,4418
2018-09-26,-0.0154,6430
2018-09-27,-0.028,5691
2018-09-28,-0.0328,2004
2018-09-29,-0.032,3434
2018-09-30,-0.0376,4615
2018-10-01,-0.0349,2003
2018-10-02,0.0046,8452
2018-10-03,-0.0348,8284
2018-10-04,-0.0399,7203
2018-10-05,-0.0354,5555
2018-10-06,0.0077,5318
2018-10-07,-0.014,9605
2018-10-08,-0.0322,4977
2018-10-09,-0.0351,4228
2018-10-10,-0.0216,2890
2018-10-11,-0.0343,3970
2018-10-12,-0.0216,4270
2018-10-13,-0.0489,11079
2018-10-14,-0.0419,11652
2018-10-15,-0.0189,11283
2018-10-16,-0.0287,11187
2018-10-17,-0.032,7705
2018-10-18,-0.0267,7927
2018-10-19,-0.0363,5101
2018-10-20,-0.0335,4086
2018-10-21,-0.0228,7441
2018-10-22,-0.0341,5382
2018-10-23,-0.0251,5170
2018-10-24,-0.0418,8507
2018-10-25,-0.0431,13043
2018-10-26,-0.0332,8490
2018-10-27,-0.0692,11434
2018-10-28,-0.0488,7250
2018-10-29,-0.0252,3856
2018-10-30,-0.0404,4723
2018-10-31,-0.0235,4725
2018-11-01,-0.0344,5368
2018-11-02,-0.0035,5481
2018-11-03,-0.0023,4562
2018-11-04,-0.0258,2756
2018-11-05,-0.0432,5530
2018-11-06,-0.0304,6363
2018-11-07,-0.0312,8128
2018-11-08,-0.0283,4822
2018-11-09,-0.031,4007
2018-11-10,-0.0398,5650
2018-11-11,-0.0353,4087
2018-11-12,-0.0427,4399
2018-11-13,-0.0365,5297
2018-11-14,-0.0297,2938
2018-11-15,-0.0256,4129
2018-11-16,-0.0271,2853
2018-11-17,-0.0528,2573
2018-11-18,-0.0324,3414
2018-11-19,-0.0441,3219
2018-11-20,-0.0284,3604
2018-11-21,-0.0596,3520
2018-11-22,-0.0518,4316
2018-11-23,-0.0226,4532
2018-11-24,-0.0342,9315
2018-11-25,-0.0457,6573
2018-11-26,-0.0301,3569
2018-11-27,-0.0137,6486
2018-11-28,-0.0247,8679
2018-11-29,-0.0137,7124
2018-11-30,-0.0306,5600
2018-12-01,-0.0427,3881
2018-12-02,-0.0496,8988
2018-12-03,-0.0278,7603
2018-12-04,-0.0046,5607
2018-12-05,-0.0379,4209
2018-12-06,-0.0418,4359
2018-12-07,-0.0313,7333
2018-12-08,-0.0287,3800
2018-12-09,-0.0263,2972
2018-12-10,-0.0473,5658
2018-12-11,-0.0379,3332
2018-12-12,-0.0313,2715
2018-12-13,-0.0313,2843
2018-12-14,-0.0611,4039
2018-12-15,-0.0538,5433
2018-12-16,-0.0484,2044
2018-12-17,-0.0314,1272
2018-12-18,-0.0339,3043
2018-12-19,-0.0284,3298
2018-12-20,-0.0394,3673
2018-12-21,-0.0463,2194
2018-12-22,-0.0393,5725
2018-12-23,-0.0277,5313
2018-12-24,-0.0155,2930
2018-12-25,-0.0187,2098
2018-12-26,-0.0061,4381
2018-12-27,-0.0271,2874
2018-12-28,-0.0264,3917
2018-12-29,-0.0371,3364
