date,sentiment_score,volume
2018-12-14,-0.0414,15541
2018-12-15,-0.0427,14440
2018-12-16,-0.0412,4971
2018-12-17,-0.0287,4348
2018-12-18,-0.0282,15032
2018-12-19,-0.0301,11206
2018-12-20,-0.0304,14853
2018-12-21,-0.0336,13433
2018-12-22,-0.0345,19037
2018-12-23,-0.031,15058
2018-12-24,-0.0285,9549
2018-12-25,-0.0399,7229
2018-12-26,-0.016,17925
2018-12-27,-0.0107,26999
2018-12-28,-0.0222,14063
2018-12-29,-0.0351,9343
2018-12-30,-0.0315,10796
2018-12-31,-0.0027,16111
2019-01-01,0.0044,19152
2019-01-02,-0.0219,23947
2019-01-03,-0.032,37663
2019-01-04,-0.037,36805
2019-01-05,-0.0466,35812
2019-01-06,-0.0301,28443
2019-01-07,-0.0329,27735
2019-01-08,-0.0273,30296
2019-01-09,-0.0269,32306
2019-01-10,-0.0231,32509
2019-01-11,-0.0271,22567
2019-01-12,-0.0342,22148
2019-01-13,-0.0135,23084
2019-01-14,-0.0258,11518
2019-01-15,-0.0273,10592
2019-01-16,-0.0298,12305
2019-01-17,-0.0211,22495
2019-01-18,-0.0376,17304
2019-01-19,-0.0391,23170
2019-01-20,-0.0388,33898
2019-01-21,-0.0381,35904
2019-01-22,-0.0326,30919
2019-01-23,-0.031,26563
2019-01-24,-0.0413,34482
2019-01-25,-0.0325,28931
2019-01-26,-0.0265,25847
2019-01-27,-0.0303,33795
2019-01-28,-0.0282,36041
2019-01-29,-0.0251,39978
2019-01-30,-0.0274,36914
2019-01-31,-0.0388,36072
2019-02-01,-0.0415,21232
2019-02-02,-0.0321,20902
2019-02-03,-0.0337,20114
2019-02-04,-0.0291,17901
2019-02-05,-0.0153,16308
2019-02-06,-0.0203,17096
2019-02-07,-0.033,8732
2019-02-08,-0.0303,12469
2019-02-09,-0.0376,12051
2019-02-10,-0.0369,16446
2019-02-11,-0.0371,14791
2019-02-12,-0.0282,17320
2019-02-13,-0.0354,13472
2019-02-14,-0.031,13567
2019-02-15,-0.0306,13508
2019-02-16,-0.0443,14462
2019-02-17,-0.0324,16145
2019-02-18,-0.0269,14777
2019-02-19,-0.0255,10836
2019-02-20,-0.0289,13328
2019-02-21,-0.0456,20365
2019-02-22,-0.0406,19684
2019-02-23,-0.0413,16218
2019-02-24,-0.0391,17328
2019-02-25,-0.0303,16883
2019-02-26,-0.0415,13128
2019-02-27,-0.0496,14909
2019-02-28,-0.0415,10022
2019-03-01,-0.0396,13837
2019-03-02,-0.038,16254
2019-03-03,-0.0324,19928
2019-03-04,-0.0332,15797
2019-03-05,-0.0437,12901
2019-03-06,-0.0329,19510
2019-03-07,-0.0392,17721
2019-03-08,-0.0303,13854
2019-03-09,-0.0508,11471
2019-03-10,-0.0441,16919
2019-03-11,-0.0327,12662
2019-03-12,-0.0374,16198
2019-03-13,-0.0365,13147
2019-03-14,-0.0398,11710
2019-03-15,-0.0381,16014
2019-03-16,-0.0221,11184
2019-03-17,-0.0411,12048
2019-03-18,-0.0409,16047
2019-03-19,-0.0237,24392
2019-03-20,-0.0372,38282
2019-03-21,-0.0499,38052
2019-03-22,-0.0383,27537
2019-03-23,-0.0302,19292
2019-03-24,-0.0272,21100
2019-03-25,-0.0217,19738
2019-03-26,-0.0191,21423
2019-03-27,-0.0303,18423
2019-03-28,-0.0311,19850
2019-03-29,-0.0269,14102
2019-03-30,-0.0069,13201
2019-03-31,-0.018,9492
2019-04-01,-0.0369,18015
2019-04-02,-0.037,16168
2019-04-03,-0.0376,22445
2019-04-04,-0.0289,23184
2019-04-05,-0.0346,16183
2019-04-06,-0.04,15435
2019-04-07,-0.034,19441
2019-04-08,-0.0388,21665
2019-04-09,-0.0413,20817
2019-04-10,-0.0316,15600
2019-04-11,-0.0242,18487
2019-04-12,-0.0264,15906
2019-04-13,-0.0321,11803
2019-04-14,-0.0253,10636
2019-04-15,-0.0145,15278
2019-04-16,-0.0289,12189
2019-04-17,-0.0284,12369
2019-04-18,-0.0321,11027
2019-04-19,-0.03,12229
2019-04-20,-0.0302,8696
2019-04-21,-0.0263,15333
2019-04-22,-0.0326,18402
2019-04-23,-0.0369,22220
2019-04-24,-0.0375,18842
2019-04-25,-0.0279,17100
2019-04-26,-0.0247,13145
2019-04-27,-0.0332,13168
2019-04-28,-0.0352,13634
2019-04-29,-0.0333,13587
2019-04-30,-0.0271,17111
2019-05-01,-0.0251,12448
2019-05-02,-0.0228,12758
2019-05-03,-0.0193,17273
2019-05-04,-0.0363,15399
2019-05-05,-0.0421,10402
2019-05-06,-0.0402,12056
2019-05-07,-0.0408,12573
2019-05-08,-0.0295,25095
2019-05-09,-0.0276,27373
2019-05-10,-0.0209,20352
2019-05-11,-0.038,16582
