Giorno,Indice
20180731,-0.255874273
20180801,-0.074068029
20180802,0.170515443
20180803,-0.585535155
20180804,-0.352095519
20180805,0.188348099
20180806,-0.902545129
20180807,-0.252401783
20180808,0.610296496
20180809,-0.319421796
20180810,-2.106519106
20180811,-1.339973888
20180812,-0.261628007
20180813,-2.44247718
20180814,-4.532200324
20180815,-4.110624426
20180816,-2.809376475
20180817,-2.609695975
20180818,-1.53925496
20180819,-1.709069185
20180820,0.756213409
20180821,-0.916716546
20180822,-0.915186946
20180823,-1.974335152
20180824,-3.895541785
20180825,-3.287609806
20180826,-1.498183748
20180827,-1.920379139
20180828,-1.746928724
20180829,-0.391002581
20180830,0.28097602
20180831,-0.666790643
20180901,-0.671628052
20180902,-1.337181241
20180903,-1.082011592
20180904,-1.01166274
20180905,-2.183687612
20180906,0.582257348
20180907,-0.444064165
20180908,-1.797242028
20180909,-1.866865561
20180910,0.164181814
20180911,-0.05279301
20180912,-0.952323221
20180913,-1.018936698
20180914,-0.499630348
20180915,-0.772682134
20180916,0.455231608
20180917,-0.038361965
20180918,-1.418016192
20180919,-2.640483109
20180920,-0.503430571
20180921,0.662308187
20180922,-0.081212297
20180923,-1.22926467
20180924,0.064862747
20180925,0.157560865
20180926,2.484983303
20180927,-0.797122311
20180928,-3.047044829
20180929,-2.191358698
20180930,-1.799588611
20181001,-0.946159465
20181002,-0.075906249
20181003,-0.341624922
20181004,-1.216865491
20181005,0.584884129
20181006,-0.909661773
20181007,-0.395769962
20181008,-2.28750947
20181009,-1.638658542
20181010,-0.763947631
20181011,-0.063282412
20181012,0.340819139
20181013,-1.766153168
20181014,-0.838462463
20181015,-1.38378491
20181016,-2.77519391
20181017,-3.275635261
20181018,-2.687119683
20181019,-1.950488816
20181020,-1.541228543
20181021,-1.081544972
20181022,-0.199338111
20181023,-0.291332252
20181024,-2.349399352
20181025,-0.887256651
20181026,0.52214602
20181027,-0.844633214
20181028,-0.824202703
20181029,-1.941982653
20181030,-1.966525487
20181031,-1.180565508
20181101,-1.739972328
20181102,-1.828357902
20181103,-1.400272127
20181104,-1.67643234
20181105,-0.79517956
20181106,-0.779804128
20181107,0.297833384
20181108,-0.461258424
20181109,-1.917898829
20181110,-2.741077702
20181111,-0.700953462
20181112,-0.697859784
20181113,-1.789798834
20181114,-0.584114453
20181115,0.739613092
20181116,-0.265243096
20181117,-0.878129512
20181118,0.289296956
20181119,-1.256610454
20181120,-0.733528452
20181121,-1.0168519
20181122,-1.139391745
20181123,-0.022502333
20181124,-2.318380153
20181125,-1.538691353
20181126,-1.187736261
20181127,-0.057991715
